"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2019,"UNESCO Champlain-Adirondack Biosphere Rescue","Intern","Westport, New York",44.184174,-73.435707,NA,"cannot find WEST PORT which was entered, coordinates for WESTPORT"
"Spring",1990,"Underwater Vehical Laboratory","Intern Technician","Massachusetts",44.387611,-68.203912,NA,NA
"Summer",2016,"Umhverfisstofnun","Nature Conservation Volunteer","Reykjavík, Iceland",64.145981,-21.9422367,NA,NA
"Fall",2007,"Uganda Fisheries Development Association","Development Intern","Jinja, Uganda",44.387611,-68.203912,NA,NA
"Winter",2020,"Uetoh-Zohen Co. LTD","Landscape Intern","Kyoto, Japan",44.387611,-68.203912,NA,NA
"Summer",1983,"UConn Marine Sciences Institute","Intern","Groton, Connecticut",44.387611,-68.203912,NA,NA
"Winter",2004,"UCA MIRAFLOR","English Teacher","Esteli, Nicaragua",44.387611,-68.203912,NA,NA
"Summer",2019,"U.S. Fish and Wildlife Services","Intern","Augusta, Arkansas",44.387611,-68.203912,NA,NA
"Winter",2007,"U.S. Fish and Wildlife Service","Intern","Tern Island, Hawaii",23.8699065,-166.2834,NA,NA
"Spring",2015,"U.S. Bells","Foundry Intern","Prospect Harbor, Maine",44.3106,-69.7795,NA,NA
"Winter",1994,"U.S Department of Agriculture","Research Assistant","Snow Hill, Maryland",38.1770634,-75.3926959,NA,NA
"Summer",1992,"Two Harbors Campground","Assistant Ranger","Santa Catalina Island, California",44.387611,-68.203912,NA,NA
"Summer",1980,"Twin Cities Tree Trust","Crew Chief","St. Louis Park, Minnesota",44.387611,-68.203912,NA,NA
"Summer",1992,"Tvarminne Zoological Station","Research Assistant","Hanko, Finland",44.387611,-68.203912,NA,NA
"Summer",1992,"Tuva Foundation","Research Assistant","Peninsula de Osa, Costa Rica",8.6331702,-83.5829238,NA,NA
"Summer",1999,"Turpentine Creek Exotic Wilflife Refuge","Animal Caretaker","Eureka Springs, Arkansas",44.387611,-68.203912,NA,NA
"Summer",2012,"Tufts University","Undergraduate researcher","Medford, Massachusetts",42.4184296,-71.1061639,NA,NA
"Fall",1984,"Trinity Square Repertory Theatre","Production Stage Management Crew","Providence, Rhode Island",44.387611,-68.203912,NA,NA
"Summer",1980,"Trinity Episcopal church","Intern","Upperville, Virginia",38.962661,-77.884726,NA,NA
"Summer",2022,"Triebwerk Agroforestry Office","Intern","Witzenhausen, Hessen, Germany",44.387611,-68.203912,NA,NA
"Summer",2013,"Tree of Life Day Spa Inc.","Massage Therapist","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",2007,"Tree of Life Day Spa & Acadia School of Massage",NA,"Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Spring",2002,"Travelodge","Assistant Desk Clerk","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Summer",2015,"Transforming Education","Intern","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Winter",1988,"TRANET","Intern","Rangeley, Maine",44.3106,-69.7795,NA,NA
"Summer",1999,"Trailmark Outdoor Adventures","Intern","Nyack, New York",44.387611,-68.203912,NA,NA
"Summer",2007,"Townhouse Creamery","Intern","Whitefield, Maine",44.1700735,-69.6253223,NA,NA
"Summer",1998,"Town of Bar Harbor","Deputy Harbormaster/Assistant Harbormaster","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2018,"Town of Arlington","Intern","Arlington, Massachusetts",42.4153739,-71.1564428,"Included local shop guide",NA
"Winter",2011,"Town Hill Market","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2004,"Total It Group","Intern","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Summer",2018,"Toddy Pond Farm","Farm Apprentice","Monroe, Maine",44.6154,-69.018173,NA,NA
"Spring",2007,"TNT Design Group","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Winter",2014,"Tirimbina Biological Reserve","Intern","Heredia, Costa Rica",44.387611,-68.203912,NA,NA
"Summer",2021,"Tinder Hearth Bakery","Sourdough Baker","Brooksville, Maine",44.3106,-69.7795,NA,NA
"Winter",2010,"Time Out Magazine","Intern","Bengaluru, India",44.387611,-68.203912,NA,NA
"Spring",1992,"Tilbury House Publishing Company","Intern","Gardiner, Maine",44.3106,-69.7795,NA,NA
"Summer",1995,"Tilbury House","Intern","Gardiner, Maine",44.2297027,-69.7731228,NA,NA
"Winter",2014,"Tichenor and Thorpe","Intern","Los Angeles, California",44.387611,-68.203912,NA,NA
"Summer",2019,"Thrive Juice Bar and Kitchen","Business Management Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2022,"Three Oaks Farm","Outdoor Nature Specialist","Forest Hill, Maryland",39.5851063,-76.387739,NA,NA
"Summer",2000,"Three Mile Island Camp","Intern","Lexington, Massachusetts",42.4473175,-71.2245003,NA,NA
"Summer",2014,"Third World Network","Research Assistant","Petaling Jaya, Malaysia",3.0988792,101.6454202,NA,NA
"Summer",2012,"Third World Network","Research Intern","Geneva, Switzerland",46.2017559,6.1466014,NA,NA
"Summer",1987,"Theater for the New City","Tech Director","Washingtonville, NY",44.387611,-68.203912,NA,NA
"Summer",1995,"The York Art Association","Intern","York, Pannsylvania",44.387611,-68.203912,NA,NA
"Summer",1989,"The Wolf/Bison Program","Intern","Northwest Territories, Canada",65.0000004,-118,NA,NA
"Summer",2012,"The Washington Spectator","Editorial Intern","Chicago, Illinois",44.387611,-68.203912,NA,NA
"Winter",1992,"The Wadsworth Atheneum","Intern","Hartford, Connecticut",44.387611,-68.203912,NA,NA
"Summer",1981,"The W. Alton Jones Environmental Education Center","Intern","West Greenwich, Rhode Island",44.387611,-68.203912,NA,NA
"Summer",2011,"The Urban Farmers","Farmer, Community Organizer","Lafayette, CA",44.387611,-68.203912,NA,NA
"Summer",1980,"The University of North Carolina/Chapel Hill","Research Assistant","Chapel Hill, North Carolina",35.9131542,-79.05578,NA,NA
"Fall",2008,"The Sudio","Recording Engineer","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Summer",1985,"The Society for Human Ecology","Intern","College Park, Maryland",44.387611,-68.203912,NA,NA
"Summer",2006,"The Smithsonian","Intern","Washington D.C.",44.387611,-68.203912,NA,NA
"Winter",1989,"The Scottish Society for the Prevention of Vivisection","Researcher","Edinburgh, Scotland",55.9533456,-3.1883749,NA,NA
"Fall",2001,"The Scherer Institute of Natural Healing","Massage Therapist","Taos, New Mexico",44.387611,-68.203912,NA,NA
"Spring",2014,"The Sable Project","Intern","Stockbridge, Vermont",43.7867833,-72.7541561,NA,NA
"Fall",1982,"The Rural Education Center, INC.","Intern","Wilton, New Hampshire",42.843419,-71.7350741,"Included COA magazine Winter 1998/99",NA
"Fall",1996,"The Raptor Trust","Intern","Millington, New Jersey",40.6736216,-74.5235057,"Physical file included print of emails fron Books to Jill",NA
"Summer",2015,"The Press at the Palace of the Governors, New Mexico History Museum","Press Intern","Santa Fe, New Mexico",44.387611,-68.203912,NA,NA
"Winter",2000,"The Potter's House","Apprentice","Winthrop, Maine",44.305178,-69.977417,NA,"cannot find WINTHOP which was entered, coordinates for WINTHROP"
"Fall",2018,"The Permanent Mission of the Slovak Republic to the United Nations","Assistant to the Third Secretary","New York, New York",44.387611,-68.203912,NA,NA
