"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2017,"Lady Bird Johnson Wildflower Center","Communication Intern","Austin, Texas",30.2711286,-97.7436995,NA,NA
"Fall",1991,"Labor of Love Birth Center","Intern","Lakeland, Florida",28.0394654,-81.9498042,"Included COA Magazine winter  1998/99 and The Birth Center brachure",NA
"Summer",2018,"La MAMA Experimental Theatre Club","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Winter",2010,"Kristen Zuschlag","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,"Worked with Kristen Zuschlag in graphic design",NA
"Summer",2001,"Klamath Forest Alliance","Conservation Intern","Etna, California",41.456807,-122.894755,"Right Before 9/11",NA
"Summer",2005,"King's College","Field Assistant","London, England",44.387611,-68.203912,NA,NA
"Spring",1992,"Kids Corner","Teachers Aid","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2016,"Kids Corner","Teachers assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2011,"Khadighar Farm","Intern","Industry, Maine",44.7457584,-70.0529487,NA,NA
"Fall",1992,"Khadighar Farm","Intern","Farmington, Maine",44.3106,-69.7795,NA,NA
"Fall",1979,"Kerkmann Construction Co.","Contractors Assistant","Pawtucket, Rhode Island",41.8789531,-71.3821203,NA,NA
"Summer",2001,"Kelmscott Rare Breeds Foundation and Farm","Intern","Lincolnville, Maine",44.2811892,-69.0086453,NA,NA
"Summer",2000,"Kelmscott Rare Breeds Foundation","Intern","Lincolnville, Maine",44.3106,-69.7795,NA,NA
"Winter",2010,"Keahou Bird Conservation Center","Agricultural Intern","Volcano, Hawaii",19.6844554,-155.0697306,NA,NA
"Fall",2003,"Karacadir Center for Sustainable Development","Intern","Guanajuato, Mexico",20.98763894,-101.2588881,NA,"cannot find GUANAJUARO which was entered, coordinates for GUANAJUATO, cannot find the specific project online"
"Winter",2010,"Kantzos Photography","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Fall",2013,"Kannaksen Lukio","Teaching Assistant","Luhti, Finland",44.387611,-68.203912,NA,NA
"Fall",2017,"Juniper Hill School","Teachers Apprentice","Alna, Maine",44.0800367,-69.6178269,NA,NA
"Summer",2012,"Jornada Basin LTER","Intern","Las Cruces, New Mexico",32.3140354,-106.779807,NA,NA
"Winter",2011,"John James Audubon Center","Intern","Audubon, Pennsylvania",40.1278839,-75.4318532,NA,NA
"Summer",2010,"Johannah Bernstein","International Enviromental Law Researcher","Geneva, Switzerland",46.2017559,6.1466014,NA,NA
"Fall",2014,"Johanna Bernstein","Intern","Le Châble, Switzerland",46.0801462,7.2125027,NA,NA
"Summer",2011,"Joe Public Films","Graphic Design Intern","Portsmouth, New Hampshire",44.387611,-68.203912,NA,NA
"Winter",2002,"Jirrahlinga Koala and Wildlife Sanctuary","Intern","Victoria, Australia",-37.0819229,144.2567357,NA,NA
"Fall",1980,"Jim Richardson ""Master Shipwright""","Intern","Chesapeake Bay Region",44.387611,-68.203912,NA,NA
"Winter",2015,"Jesup Memorial Library","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2022,"Jesup Memorial Library","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2019,"Jesup Memorial Library","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Fall",2021,"Jesup Library","Digital Archive Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2018,"Jesse Salisbury","Asisstant to Jesse","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Spring",1988,"Jesse Einhorns' Home","Nanny","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Spring",2018,"Jeff Dobbs Productions + Bar Harbor Whale Watch","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",1987,"Jeff Dobbs Productions","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1986,"Jayn Thomas Studio","Weaving Apprentice","Ellsworth, Maine",44.5414036,-68.4243047,"Incuded newspapers",NA
"Summer",2001,"James Monroe High School","Intern","Los Angeles, California",34.2380325,-118.4785228,NA,NA
"Fall",2010,"Jamaica bay Institute","Research Assistant","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2000,"Jackson Laboratory","Lab Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1990,"Jackson Laboratory","Lab Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",1995,"Jackson Laboratory","Laboratory Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2006,"Jackson Laboratory","Research Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2013,"Jackson Laboratory","Research Assistant","Bar Harbor Maine",44.3876378,-68.2043361,NA,NA
"Summer",1973,"Jackson Laboratory","Researcher","Bar Harbor, Maine",44.37889528,-68.21606167,NA,NA
"Summer",1994,"Jackson Laboratory","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2015,"Jackson Laboratory","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",2005,"Jackson Laboratory","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2006,"Jackson Laboratory","Graphic Design Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",1990,"Jackson Laboratory","Laboratory Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",1999,"Jackson Hole Ski Corporation","Special Events Intern","Teton Village, Wyoming",44.387611,-68.203912,NA,NA
"Spring",2014,"Ivy Manor Inn","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2022,"Island Research Center","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2004,"Island Research Center","Research Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2019,"Island Reaserch Center","Research Assistant","Great Duck Island, Maine",44.1499618,-68.2491876,NA,NA
"Summer",2004,"Island Reaserch Center","Field Researcher","Great Duck Island, Maine",44.3106,-69.7795,NA,NA
"Summer",2020,"Island Reaserch Center","Field Researcher","Great Duck Island, Maine",44.3106,-69.7795,NA,NA
"Summer",2012,"Island Reaserch Center","Field Researcher","Great Duck Island, Maine",44.3106,-69.7795,NA,NA
"Fall",2018,"Island Reaserch Center","Research Assistant","Gouldsboro, Maine",44.478412,-68.038339,NA,NA
"Summer",1978,"Island Craft Cooperative","Bookkeeper","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",2007,"Island Astronomy Institute","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",2008,"International Organization for Migration (IOM)","Intern","San Jose, Costa Rica",9.9325427,-84.0795782,NA,NA
"Winter",2013,"International Council for Local Environmental Initiatives","Ecotourism Management","Mexico City, Mexico",44.387611,-68.203912,NA,NA
"Spring",2001,"International Childrens Arts Network Nonprofit Org, (ICAN)","Founder","Moscow, Russia",55.75222,37.61556,"not during her time at COA, after.",NA
"Winter",2018,"International Center for Reproductive Health Kenya","Research Assistant","Mombasa, Kenya",44.387611,-68.203912,NA,NA
"Summer",1992,"Interface Foundation","Intern","Cambridge, Massachusetts",42.3655767,-71.1040018,"Included Interface journal spring/summer 1992",NA
"Summer",1992,"Interface","Assistant to the Director of Programming","Cambridge, Massachusetts",42.3655767,-71.1040018,NA,NA
"Summer",1981,"Interaction Associates Inc","Intern","San Francisco, California",44.387611,-68.203912,"Not included: infographics",NA
"Winter",2013,"Institute of International Studies of Bolovia","Intern","Cochabamba, Bolivia",-17.4012458,-66.1675681,NA,NA
"Winter",2002,"Institute for Transportation and Development Policy","Intern","New York, New York",44.387611,-68.203912,NA,NA
"Summer",1978,"Institute for Local Self Reliance","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Fall",1980,"Institute for Energy Analysis (IEA)","Intern","Washington, D.C.",38.8950368,-77.0365427,"Not scanned: Businesscard for ""Forged Image Productions - Paul Cady, Newspaper page The Bar Harbor Times ""It's a Video World"", Paul Cady on front page.",NA
"Summer",2007,"Institute for Biomolecular Science at University of Wisconsin - La Crosse","Research Assistant","La Crosse, Wisconsin",43.8156316,-91.2314611,NA,NA
"Fall",1978,"Insolar Homes Residential Designs and Construction","Laborer","Buena Vista, Colorado",38.8422178,-106.1311288,NA,NA
"Spring",1979,"Independent Film Making","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",1995,"In The Woods Retail Outlet","Intern","Edgartown, Massachusetts",41.3894198,-70.5129682,NA,NA
"Summer",2003,"IBIS Consulting","Intern","Providence, Rhode Island",41.8239891,-71.4128343,NA,NA
"Winter",2009,"Hutter Architects, LLC","Intern","Chicago, Illinois",41.8755616,-87.6244212,NA,NA
"Spring",2010,"Hurriyet Daily News and Economic Review","Intern","Istanbul, Turkey",41.006381,28.9758715,NA,NA
"Summer",1976,"Hurricane Island Outward Bound School","Intern","Penobscot Bay, Maine",44.213474,-69.060834,NA,NA
"Summer",1998,"Hurricane Island Outward Bound School","Intern","Penobscot Bay, Maine",44.213474,-69.060834,NA,NA
"Summer",2005,"Hurricane Island Outward Bound School","Intern","Rockport, Maine",44.3106,-69.7795,NA,NA
"Summer",2014,"Humble Roots Nursery","Intern","Mosier, Oregon",44.387611,-68.203912,NA,NA
"Winter",2009,"Human Producciones","Assistant","Bogotá, Colombia",4.6529539,-74.0835643,NA,NA
"Fall",1985,"Hubbs Marine Research Institute","Intern","Carlsbad, California",44.387611,-68.203912,NA,NA
"Summer",2001,"Hubbell & Hubbrll","Intern","San Diego, California",32.7174202,-117.162772,NA,NA
"Summer",1980,"House of Representatives United States Congress","Intern","Capitol Hill, Washington D.C.",38.8842305,-77.0020119,"Includes newspaper clippings",NA
"Winter",1988,"House of Representatives","Intern","Denver, Colorado",44.387611,-68.203912,NA,NA
"Summer",1991,"Hot Flash Anny's Stained Glass","Intern","Southwest Harbor, Maine",44.2798024,-68.3250168,NA,NA
"Winter",2016,"Hospital T1 de IMSS","Intern","Mérida, Mexico",20.9670759,-89.6237402,NA,NA
"Fall",1988,"Horse Power Farm","Intern","Blue Hill, Maine",44.414164,-68.58696,NA,NA
"Summer",2005,"Honor the Earth","Intern","Minneapolis, Minnesota",44.387611,-68.203912,NA,NA
"Winter",2002,"Homestead Gardens Trust","Research Assistant","Coromandel, New Zealand",-36.7571639,175.5007016,NA,NA
"Spring",2020,"Hokkaido University","Lab Assistant","Hokkaido, Japan",44.387611,-68.203912,NA,NA
"Spring",1980,"His Mansion Ministry","Intern","Hillsboro, New Hampshire",43.1149568,-71.8948666,NA,NA
"Fall",1993,"Himalayan Institute","Resisdent Assistant","Honesdale, Pennsylvania",44.387611,-68.203912,NA,NA
"Winter",1992,"Hillcrest Educational Center","Intern","Northampton, Massachusetts",42.3178989,-72.6311006,NA,NA
"Summer",1999,"Highmoor Farm","Intern","Monmouth, Maine",44.3106,-69.7795,NA,NA
"Spring",1997,"High School for Enviromental Studies","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2013,"High Falls Gardens, Inc.","Intern","Philmont, New York",44.387611,-68.203912,NA,NA
"Summer",2001,"Hidden Villa Summer Camp","Residental Camp Counselor","Los Altos Hills, California",37.3796627,-122.137463,NA,NA
"Summer",2007,"Herb Pharm","Intern","Williams, Oregon",42.2186765,-123.2739559,NA,NA
"Summer",2015,"Herb Pharm","Intern","Williams, Oregon",42.2186765,-123.2739559,NA,NA
"Fall",1998,"Henry Doorly Zoo","Field Assistant","Omaha, Nebraska",41.2587459,-95.9383758,NA,NA
"Spring",1998,"Henry Doorly Zoo","Field Assistant","Omaha, Nebraska",41.2587459,-95.9383758,"Included journals on Black-footed ferret",NA
"Summer",2010,"Henry Doorly Zoo","Zookeeper","Omaha, Nebraska",41.2587459,-95.9383758,NA,NA
"Fall",2016,"Heifer International Farm","Educator","Rutland, Massachusetts",42.3767722,-71.9543851,NA,NA
"Spring",2023,"Healthy Acadia","Gleaning Intern","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Summer",2021,"Healthy Acadia","Gleaning Intern","Ellsworth, ME",44.387611,-68.203912,NA,NA
"Summer",2018,"Headwater Food Hub","Food and Farm Fellowship","Ontario, New York",44.387611,-68.203912,NA,NA
"Summer",2012,"Haystack Mountain School of Arts and Crafts","Intern","Deer Isle, Maine",44.224044,-68.677597,NA,NA
"Winter",2001,"Hawaii Preparatory Academy","Teacher Assistant","Kamuela, Hawaii",20.020452,-155.66391,NA,NA
"Summer",2005,"Harvard Forest","Intern","Petersham, Massachusetts",42.4883684,-72.1865591,NA,NA
"Summer",2007,"Harvard Forest","Intern","Petersham, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",1994,"Harbor House","Camp Counselor","Southwest Harbor, Maine",44.2798024,-68.3250168,NA,NA
"Spring",1991,"Harbor House","Intern","Southwest Harbor, Maine",44.2798024,-68.3250168,NA,NA
"Summer",1995,"Harbor House","Intern","Southwest Harbor, Maine",44.3106,-69.7795,NA,NA
"Winter",1991,"Harbor Branch Oceaonographic Institution","Intern","Fort Peirce, Florida",44.387611,-68.203912,NA,NA
"Summer",1973,"Hanxoxk County Regional Planning Commission","Intern","Ellsworth, Maine",44.3106,-69.7795,"Not Scanned: Some newspapers",NA
"Winter",2007,"Hang Prosthetics and Orthotics","Intern","Waterville, Maine",44.5520105,-69.6317121,NA,NA
"Fall",2012,"Hamilton Farm","Farm Assistant","Whitefield, Maine",44.1700735,-69.6253223,NA,NA
"Spring",1981,"Hallock Architects, Inc.","Intern","North Kingstown, Rhode Island",41.5514283,-71.4693875,NA,NA
"Fall",1988,"Hall School","Student Teacher","Portland, Maine",44.387611,-68.203912,NA,NA
"Spring",2006,"Hale and Hale Office","Intern","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Spring",1977,"Habitat Inc.","Intern","Belmont, Massachusetts",42.3959296,-71.1786655,NA,NA
"Summer",1984,"H.R.Beal and Sons","Intern","Southwest Harbor, Maine",44.3106,-69.7795,NA,NA
"Spring",1995,"H.O.M.E.","Intern","Orland, Maine",44.5703522,-68.7358642,NA,NA
"Spring",2015,"Gut Wulfsdorf Farming Community","Butcher Intern","Ahrensburg, Germany",44.387611,-68.203912,NA,NA
"Summer",2021,"Guru Ram Das Orchards","Farm Intern","Esparto, California",44.387611,-68.203912,NA,NA
"Spring",2016,"Groundcover News","Staff Assistant/Writer","Ann Arbor, Michigan",44.387611,-68.203912,NA,NA
"Summer",2003,"Greenwood","Backcountry Boat Building Intern","Honduras",15.2572432,-86.0755145,NA,"could not find specific project site"
"Summer",2011,"Greenwich Audubon Center","Intern","Greenwich, Connecticut",41.0264862,-73.6284598,NA,NA
"Winter",2006,"Greenpeace Italy","Campaign Assistant","Rome, Italy",44.387611,-68.203912,NA,NA
"Fall",2007,"Greenpeace International","Intern","Karnataka, India",44.387611,-68.203912,NA,NA
"Summer",1978,"Greenpeace","Intern","London, England",44.387611,-68.203912,NA,NA
"Fall",1982,"Green Mountain Herbs","Intern","Boulder, Colorado",40.0149856,-105.270545,NA,NA
"Summer",1977,"Green Mountain Club","Intern","Rutland, Vermont",43.6084792,-72.9724768,NA,NA
"Fall",2005,"Green Grass Real Estate","Intern","Chicago, Illinois",41.8755616,-87.6244212,NA,NA
"Summer",2022,"Green Coast Kayaking","Kayak Guide","Haida Gwaii, BC",44.387611,-68.203912,NA,NA
"Winter",2016,"Greek Forum of Refugees","Intern","Athens, Greece",37.9755648,23.7348324,NA,NA
"Winter",1993,"Great Smoky Mountains National Park, Division of Research Management and Science","Intern","Gatlinburg, Tennessee",44.387611,-68.203912,NA,NA
"Summer",1992,"Great Smoky Mountains National Park","Intern","Gattlenburg, Tennessee",35.7148394,-83.50728705,NA,NA
"Summer",1990,"Great harbor Collection Museum","Executive Director","Northeast Harbor, Maine",44.2942468,-68.2897381,NA,NA
"Summer",1983,"Great Gull Island Project","Research Assistant","Great Gull Island, New York",41.2020749,-72.1189802,"Included some journals with them for alumni archives",NA
"Summer",2020,"Great Duck Island","Research Assistant","Great Duck Island, Maine",44.1499618,-68.2491876,NA,NA
"Fall",2010,"Great Duck Island","Researcher","Great Duck Island, Maine",44.1499618,-68.2491876,NA,NA
"Summer",2019,"Great Duck Island","Research Assistant","Frenchboro, Maine",44.3106,-69.7795,NA,NA
"Summer",2020,"Great Cranberry Island Historical Society","Intern","Cranberry Isles, Maine",44.248642,-68.260803,NA,NA
"Summer",2000,"Great Bay Aquafarms","Research Assistant","Portsmouth, New Hampshire",44.387611,-68.203912,NA,NA
"Summer",1991,"Grand Council of the Cree","Intern","James Bay, Quebec",51.96351,-75.0355484,"Included Maine in Print March 1997",NA
"Winter",2008,"Gowanlea Gold Honey","Beekeeper's Assistant","Gowanlea, New Zealand",-43.4680481,171.8258903,NA,NA
"Summer",1981,"Govatos Dunn","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Summer",2001,"Gould Acedemy Summer School","Intern","Bethel, Maine",44.4057643,-70.7900436,NA,NA
"Summer",2005,"Gotts Island Day Camp, Dumbledore Farm","Intern","Great Gott Island, Maine",44.2012865,-68.3272202,NA,NA
"Winter",2007,"Gordon Stanley Architecture","Intern","Southwest Harbor, Maine",44.2798024,-68.3250168,NA,NA
"Summer",1992,"Goddard Space Flight Center","Intern","Greenbelt, Maryland",44.387611,-68.203912,NA,NA
"Summer",2018,"GO Logic","Architectural Intern","Belfast, Maine",44.3106,-69.7795,NA,NA
"Summer",1996,"GMB Architects-Engineers","Architectural Intern","Holland, Michigan",42.7876022,-86.1090828,NA,NA
"Summer",1982,"Gloucester Fisherman's Museum Cetacean Research Unit","Intern","Gloucester, Massachusetts",42.6159286,-70.6619888,NA,"changed location to Gloucester, Massachusetts instead of ""Gulf of Maine Research"""
"Summer",2014,"Global Potential","Summer Program Facilitator","New York, New York",44.387611,-68.203912,NA,NA
"Winter",2001,"Global Exchange","Human Rights Observer","Chiapas, Mexico",16.5000001,-92.5000001,NA,NA
"Summer",2006,"Global Community Initiatives","Intern","Cambridge, Massachusetts",44.387611,-68.203912,NA,NA
"Winter",2003,"Glide Memorial United Methodist Church","Volunteer Office Intern","San Francisco, California",44.387611,-68.203912,NA,NA
"Summer",2019,"Girl Scouts of Western Ohio","Camp Counselor","Maumee, Ohio",44.387611,-68.203912,NA,NA
"Summer",1998,"Gerrish Chiropractic Center","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",1978,"George E. Brown, Jr.","Intern","Washington D.C.",44.387611,-68.203912,NA,NA
"Summer",2019,"George B. Dorr Museum of Natural History","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1989,"George B. Dorr Museum of Natural History","Museum Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",2007,"General Motors Acceptance Corporation GMAC real Estate International Properties","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Spring",2001,"Gay, Lesbian, Bisexual, Transgendered Historical Society of Northern California","Assistant Archivest","San Francisco, California",44.387611,-68.203912,NA,NA
"Summer",2022,"Gathering Ground","Intern","Washington Island, Wisconsin",44.387611,-68.203912,NA,NA
"Summer",1984,"Gates Moore","Intern","Norwalk, Connecticut",41.1175966,-73.4078968,NA,NA
"Fall",2008,"Gardens by Design","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2008,"Gardens by Design","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2004,"Gardens by Design","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",2012,"Garden Side Dairy","Intern","Jonesboro, Maine",44.6625773,-67.5724938,NA,NA
"Fall",1998,"Gandoca-Manzanillo National Wildlife Refuge (REGAMA)","Conservation Intern","Gandoca, Costa Rica",9.5852024,-82.6114729,NA,NA
"Winter",1979,"Galapagos Green Sea-Turtle Ecology Project","Research Assistant","Galapagos, Ecuador",-0.6288151,-90.3638752,NA,NA
"Winter",1997,"Fun Display","Intern","San Francisco, California",37.7792588,-122.4193286,NA,NA
"Summer",2022,"Frough Clark LLC","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Fall",2013,"Frinklpod Farm","Intern","Arundel, Maine",43.3825857,-70.4778292,NA,NA
"Summer",1994,"Fringe Festival","Intern","Edinburgh, Scotland",55.9533456,-3.1883749,NA,NA
"Summer",2015,"Friends of Tauton Bay + Frenchman Bay Conservancy","Summer Project Intern","Hancock + Franklin, Maine",44.3106,-69.7795,NA,NA
"Winter",2015,"Friends of Earth/Justica Ambiental","Campaign Assistant","Maputo, Mozambique",-25.966213,32.56745,NA,NA
"Summer",2018,"Friends of Acadia","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2017,"Friends of Acadia","Research Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2017,"Freshwater Stone","Mason","Orland, Maine",44.3106,-69.7795,NA,NA
"Winter",1994,"Freelance Photography","Intern","Bridgton, Maine",44.387611,-68.203912,NA,NA
"Fall",2006,"Franklin Park Coalition","Media Intern","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Summer",2009,"Franklin Furnace Archive, INC.","Museum Intern","Brooklyn, NY",44.387611,-68.203912,NA,NA
"Winter",2022,"Franklin Furnace","Archivist Intern","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2021,"Fox Forestry","International Forestry Relations Coordinator","Orland, Maine",44.5703522,-68.7358642,NA,NA
"Fall",1998,"Four Corners School of Outdoor Education","Intern","Monticello, Utah",37.8750565,-109.3403148,"Included program brochure",NA
"Spring",2014,"Fototeca Pedro Guerra","Intern","Merida, Yucatan",44.387611,-68.203912,NA,NA
"Summer",1984,"Forest Service","Forest Technician","Avery, Idaho",47.25076,-115.80635,NA,NA
"Winter",2004,"Food First","Intern","Oakland, California",37.8044557,-122.271356,NA,NA
"Summer",2022,"Florae Collaborative","Greenhouse Assistant","Ithaca, New York",42.4374175,-76.5483724,NA,NA
"Spring",1991,"Flag Hill Farm","Intern","Vershire, Vermont",43.9708211,-72.3248504,NA,NA
"Summer",1976,"Fish and Wildlife Services","Research Assistant","Sheridan, Wyoming",44.797194,-106.956179,NA,NA
"Winter",1994,"First Congressional Church of Blue Hill","Intern","Blue Hill, Maine",44.3106,-69.7795,NA,NA
"Spring",2001,"Fire Island National Seashore","Field Biologist","Ocean Beach, NY",44.387611,-68.203912,NA,NA
"Summer",2016,"Fine Line Farm","Intern","Searsmont, Maine",44.3617419,-69.1950411,NA,NA
"Summer",2018,"Findlay Market","Intern","Covington, Kentucky",39.0831712,-84.5107548,NA,NA
"Spring",2014,"Finca Sagrada Homestead Community","Blodynamic Farm Intern","Vilcabamba, Ecuador",44.387611,-68.203912,NA,NA
"Winter",2009,"Finca La Isla","Intern","Puerto Viejo de Talamanca, Costa Rica",9.65685,-82.75449,NA,"coordinates for ""Jardín Botánico Finca la Isla, Limón, Puerto Viejo de Talamanca, 70403, Costa Rica"", search based on Finca La Isla"
"Summer",2015,"Filaree Farm","Intern","Okanogan, Washington",48.5158513,-119.6527477,NA,NA
"Summer",2021,"Fietsersbond","Bike Route Planner Development Assistance","Utrectht, Netherlands",44.387611,-68.203912,NA,NA
"Summer",2021,"Fiddleheads Forest School","Intern","Seattle, Washington",47.589298,-122.384975,NA,NA
"Summer",2013,"FERSIGUA","Intern","Sacatepéquez, Guatemala",14.5531759,-90.7547018,NA,NA
"Summer",2015,"Fauna Forever","Intern","Peru",-6.8699697,-75.0458515,NA,NA
"Winter",1999,"Farm Sanctuary","Intern","Orland, California",39.7471106,-122.191135,NA,NA
"Summer",2018,"Farm and Wilderness camps","Intern","Plymouth, Vermont",43.5355839,-72.7217781,NA,NA
"Summer",2007,"Farm and Wilderness Camps","Intern","Plymouth, Vermont",44.387611,-68.203912,NA,NA
"Summer",1978,"Farallones Rural Center","Intern","Farallon Islands, California",37.7332634,-123.0344446,NA,NA
"Spring",1982,"Far House farm","Intern","Morill, Maine",44.3106,-69.7795,NA,NA
"Summer",1984,"Famous Rider Theatre","Stage Manager","Pittsburgh, Pennsylvania",44.387611,-68.203912,NA,NA
"Winter",2008,"Fair Trade Resource Network","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",2000,"Face Magazine","Editorial Assistant/Contributing Writer","Portland, Maine",44.3106,-69.7795,NA,NA
"Summer",1999,"Exploration Summer Programs","Intern","Southborough, Massachusetts",42.3056501,-71.5245087,"Included journals of Exploration Summer programs",NA
"Summer",2001,"Exeltech Consulting Engineers","Assistant Planner","Olympia, Washington",47.0451022,-122.8950075,NA,NA
"Winter",2015,"Evergreen Pottery Studio","Ceramics Apprentice","Trenton, Maine",44.439173,-68.370667,NA,NA
"Fall",2008,"Estel Gallery","Intern","Nashville, Tennessee",44.387611,-68.203912,NA,NA
"Summer",2011,"Equality Maine","Canvass Director","Bangor, Maine",44.8016255,-68.7713289,NA,NA
"Spring",2014,"Equality Maine","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Summer",2012,"Equality Maine","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Winter",1989,"Episcopal Divinity School","Research Assistant","Cambridge, Massachusetts",44.387611,-68.203912,NA,NA
"Spring",2020,"Environmental Protection and Urban Development (PEPMADU)","Intern","Queretaro, Mexico",20.5927744,-100.3902245,NA,NA
"Winter",2002,"Environmental Protection Agency","Research Assistant","San Francisco, California",44.387611,-68.203912,NA,NA
"Winter",2005,"Environmental Film Festival","Intern","Washington, D.C.",44.387611,-68.203912,NA,NA
"Summer",1988,"Enviromental Resource Management Inc (ERM)","Intern","Exton, Pennsylvania",40.0289955,-75.6207651,NA,NA
"Winter",2022,"Envirocorp Labs","Lab Intern","Harrington, Delaware",38.9237244,-75.5777033,NA,NA
"Winter",1997,"Entrepeneurial Restaurant Venture","Accountant/Bookeeper","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2003,"English for Special Purposes Foundation","English Language Instructor","Ulaanbaatar, Mongolia",44.387611,-68.203912,NA,NA
"Winter",2016,"English At Large","Intern","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Winter",2003,"Endmonton Community Garden Network","Research Assistant","Edmomton, Alberta, Canada",44.387611,-68.203912,NA,NA
"Winter",2000,"Endangered Species Observer Program","Intern","Athens, Georgia",33.9597677,-83.376398,NA,NA
"Summer",2006,"Empire State Pride Agenda","Intern","New York, New York",40.741895,-73.989308,"No files only Jills letter of completion",NA
"Summer",1991,"Emma Goldman Clinic for Women","Intern","Iowa City, Iowa",44.387611,-68.203912,NA,NA
"Spring",2021,"Emily Henry at Chickadee Hill Flowers","Landscape Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",1992,"Emerson Middle School","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2018,"Emerson Consulting group, inc","Research Intern","Concord, Massachusetts",42.4605189,-71.3488963,NA,NA
"Summer",2014,"Ellsworth Free Clinic","Clinic Assistant","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Winter",1994,"Ellis Island Immigration Museum","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2021,"Ellen Sedgwick Pottery Studio","Intern","Surry, Maine",44.3106,-69.7795,NA,NA
"Spring",2022,"Ellen Sedgwick","Potters Apprentice","Surry, Maine",44.4959099,-68.5016874,NA,NA
"Winter",2002,"Elk Spar and Boat Shop","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2017,"EFBC conservation and La Concepion Animal Hospital","Intern","Rosamond, California",34.8641446,-118.1634075,NA,NA
